id	tier	category	english_cue	expression	anchor	example	sources	note
C184	response	Cause, conséquence et évaluation	a constant struggle	une lutte constante	une lutte constante	Sans un revenu minimum, la vie quotidienne devient une lutte constante, et le stress lié à l'argent finit par toucher tous les domaines, y compris la santé.	Santé P20	Describe poverty.
C185	response	Travail et économie	stress linked to money	le stress lié à l'argent	le stress lié à l'argent	Sans un revenu minimum, la vie quotidienne devient une lutte constante, et le stress lié à l'argent finit par toucher tous les domaines, y compris la santé.	Santé P20	Consequence phrase.
C186	response	Cause, conséquence et évaluation	less material worry	moins d'inquiétude matérielle	moins d'inquiétude matérielle	D'abord, parce que l'argent aide à vivre avec moins d'inquiétude matérielle, mais qu'il ne règle pas tout.	Santé P22	Security effect.
C187	response	Cause, conséquence et évaluation	stress, exhaustion, or lack of meaning	du stress, de l'épuisement ou un manque de sens	du stress, de l'épuisement ou un manque de sens	Enfin, je pense qu'on peut très bien avoir un bon salaire et rester malheureux si le travail crée du stress, de l'épuisement ou un manque de sens.	Santé P22	Bad-work consequences.
C188	response	Cause, conséquence et évaluation	put in danger	mettre en danger	mise en danger	Sans eux, la vie de ces personnes serait beaucoup plus difficile, voire mise en danger.	Santé P23	Risk phrase.
C189	response	Santé	overconsume medication	surconsommer des médicaments	surconsommer des médicaments	Enfin, parce que notre société a aussi tendance à surconsommer des médicaments, ce qui fausse l'idée qu'on ne pourrait pas s'en passer.	Santé P23	Critical society point.
C190	response	Cause, conséquence et évaluation	come mainly from excess	venir surtout de l'excès	problème vient surtout de l'excès	Ensuite, parce que le problème vient surtout de l'excès et du déséquilibre, et non d'Internet en lui-même.	Technologie P4; Environnement P9	Name the real cause
C191	response	Cause, conséquence et évaluation	excess and imbalance	l'excès et le déséquilibre	l'excès et du déséquilibre	Ensuite, parce que le problème vient surtout de l'excès et du déséquilibre, et non d'Internet en lui-même.	Technologie P4	Pair for moderation arguments
C192	response	Cause, conséquence et évaluation	shrink little by little	se réduire peu à peu	se réduisent peu à peu	En effet, lorsque les conversations en face à face sont remplacées par des messages, les sorties par les vidéos en ligne et les amis par des contacts virtuels, les liens humains réels se réduisent peu à peu.	Technologie P4	Describe weakening ties
C193	response	Cause, conséquence et évaluation	a flow of negative images	un flux d'images négatives	ce flux d'images négatives	Pour certaines personnes, en particulier les plus sensibles, ce flux d'images négatives crée du stress, de l'anxiété ou un sentiment d'impuissance.	Technologie P5	Cause of anxiety
C194	shared	Cause, conséquence et évaluation	make the phone nearly indispensable	rendre [qch] presque indispensable	rendent le téléphone presque indispensable	D'abord, parce que beaucoup d'aspects de la vie quotidienne rendent le téléphone presque indispensable aujourd'hui.	Technologie P11	Explain necessity
C195	response	Cause, conséquence et évaluation	complicate one's life	se compliquer la vie	se compliquer la vie	Au contraire, vivre sans téléphone aujourd'hui revient à se compliquer la vie sur de nombreux aspects pratiques.	Technologie P11	Practical consequence
C196	response	Cause, conséquence et évaluation	rapidity of exchanges	la rapidité des échanges	la rapidité des échanges	Cela montre que le téléphone portable a vraiment changé la rapidité des échanges.	Technologie P13	Result of mobile phones
C197	response	Cause, conséquence et évaluation	then becomes a way to regain […]	devient alors une manière de retrouver […]	devient alors une manière de retrouver	Réduire ou couper la technologie devient alors une manière de retrouver du calme.	Technologie P15	Use for motives and benefits.
C198	response	Cause, conséquence et évaluation	cause distraction	créer de la distraction	créer de la distraction	Ensuite, parce qu'un accès trop libre peut créer de la distraction, de la dépendance et une exposition à des contenus inadaptés.	Technologie P16	Créer de la + noun for an effect.
C199	response	Cause, conséquence et évaluation	less able to manage [...]	moins capable de gérer […]	moins il est capable de gérer	Plus l'enfant est jeune, moins il est capable de gérer les contenus, le temps d'écran et les sollicitations permanentes.	Technologie P16	Explains child limits.
C200	response	Cause, conséquence et évaluation	sharply reduce these risks	réduire fortement ces risques	réduisent fortement ces risques	Au contraire, des règles claires et un certain contrôle parental réduisent fortement ces risques.	Technologie P16	Result of supervision.
C201	response	Cause, conséquence et évaluation	mobilize huge sums	mobiliser des sommes énormes	mobilisent des sommes énormes	Tout d'abord, les voyages dans l'espace mobilisent des sommes énormes alors que beaucoup de besoins urgents ne sont pas couverts.	Technologie P17	Use for budget burdens.
C202	response	Cause, conséquence et évaluation	would have an immediate effect	aurait un effet immédiat	aurait un effet immédiat	À l'inverse, une partie seulement de ces sommes investie dans la santé ou l'éducation aurait un effet immédiat sur la vie quotidienne de millions de personnes.	Technologie P17	Redirected-spending result.
C203	response	Cause, conséquence et évaluation	a real gain in comfort	un vrai gain de confort	un vrai gain de confort	Cela montre que les achats en ligne ont apporté un vrai gain de confort.	Technologie P18	Result of convenience.
C204	response	Cause, conséquence et évaluation	often leads to disappointments	entraîne souvent des déceptions	entraîne souvent des déceptions	Au contraire, acheter ces produits en ligne entraîne souvent des déceptions et de nombreux retours ; il est donc important que les vendeurs fournissent des informations aussi précises que possible.	Technologie P18	Negative consequence.
C205	response	Technologie et médias	can weaken downtown shops	peut affaiblir les commerces de centre-ville	peut affaiblir les commerces de centre-ville	À l'opposé, tout commander en ligne peut affaiblir les commerces de centre-ville et appauvrir la vie sociale de certaines villes.	Technologie P18	Wider impact.
C206	response	Cause, conséquence et évaluation	depends greatly on chosen content	dépend beaucoup du contenu choisi	dépend beaucoup du contenu choisi	Ensuite, parce que leur effet dépend beaucoup du contenu choisi, de la durée d'utilisation et des règles posées par les adultes.	Technologie P19	Key condition.
C207	response	Cause, conséquence et évaluation	make it possible to do without one	permettre de s'en passer	permettent de s'en passer	D'abord, parce que c'est réaliste en ville, où les transports publics et les trajets courts permettent de s'en passer.	Technologie P20	S'en passer = do without it.
C208	response	Environnement et transports	reduces pollution and noise	réduit la pollution et le bruit	réduit la pollution, le bruit	De plus, cela réduit la pollution, le bruit et la consommation d'énergie, ce qui est positif pour la collectivité.	Technologie P20	Collective result.
C209	response	Cause, conséquence et évaluation	depends strongly on where one lives	dépend fortement de l'endroit où l'on vit	dépend fortement de l'endroit où l'on vit	Cela montre que la possibilité de vivre sans voiture dépend fortement de l'endroit où l'on vit.	Technologie P20	Location criterion.
C210	response	Cause, conséquence et évaluation	get a fuller picture	avoir une vue plus complète	avoir une vue plus complète	Par exemple, lors d'un événement politique important, comparer plusieurs sites d'information permet d'avoir une vue plus complète des différents points de vue.	Technologie P21	Vue = view or perspective here.
C211	response	Cause, conséquence et évaluation	speed up communication	accélérer la communication	a accéléré la communication	D'abord, parce qu'il a accéléré la communication et l'accès à l'information.	Technologie P22	Accélérer + direct object.
C213	response	Cause, conséquence et évaluation	understand a topic in depth	comprendre un sujet en profondeur	comprendre un sujet en profondeur	Cette progression est très utile pour comprendre un sujet en profondeur.	Technologie P24	Learning result.
ENV17	response	Environnement et transports	the importance of biodiversity	l'importance de la biodiversité	l'importance de la biodiversité	En effet, ils permettent aux familles, et surtout aux enfants, de découvrir des animaux qu'ils ne verraient jamais autrement, et de comprendre l'importance de la biodiversité.	Environnement P4	Education topic phrase.
ENV18	response	Environnement et transports	endangered species	les espèces en voie de disparition	espèces en voie de disparition	Beaucoup soutiennent aussi des programmes de recherche et de protection des espèces en voie de disparition.	Environnement P4	Conservation vocabulary.
ENV19	response	Environnement et transports	other means of transport	d'autres moyens de transport	d'autres moyens de transport	Ensuite, parce qu'en ville, elle peut largement être remplacée par d'autres moyens de transport.	Environnement P5	Alternatives vocabulary.
ENV20	response	Environnement et transports	home delivery	la livraison à domicile	la livraison à domicile	En effet, l'autopartage, le covoiturage, la livraison à domicile et le développement du télétravail permettent aujourd'hui de remplacer beaucoup de trajets que l'on faisait autrefois en voiture personnelle.	Environnement P5	Mobility-reduction service.
ENV21	response	Environnement et transports	sources of air pollution	les sources de pollution de l'air	les sources de pollution de l'air	En effet, dans les centres urbains, les voitures sont l'une des principales sources de pollution de l'air et de bruit.	Environnement P6	Environmental cause phrase.
ENV22	response	Environnement et transports	organic products in supermarkets	des produits bio en supermarché	produits bio en supermarché	La vraie question est de savoir si la présence croissante de produits bio en supermarché est une bonne évolution.	Environnement P7	Bio retail topic.
ENV23	response	Environnement et transports	environmentally friendlier agriculture	une agriculture plus respectueuse de l'environnement	une agriculture plus respectueuse de l'environnement	Ensuite, parce que cela encourage une agriculture plus respectueuse de l'environnement.	Environnement P7	Core bio argument.
ENV24	response	Environnement et transports	pollution and noise	la pollution et le bruit	la pollution et le bruit	D'abord, parce que les centres-villes sont les zones les plus concernées par la pollution et le bruit.	Environnement P8	Urban nuisance pair.
ENV25	response	Environnement et transports	car-free days	des journées sans voiture	des journées sans voiture	En effet, beaucoup de villes ont mis en place des zones piétonnes, des journées sans voiture ou des zones à faibles émissions où la circulation est très limitée.	Environnement P8	Car-restriction policy tool.
ENV26	response	Environnement et transports	people with reduced mobility	les personnes à mobilité réduite	personnes à mobilité réduite	Cependant, même dans les zones interdites aux voitures, il faut prévoir des exceptions raisonnables : livraisons, services d'urgence, personnes à mobilité réduite ou habitants.	Environnement P8	Exception category.
ENV27	response	Environnement et transports	main sources of pollution	les principales sources de pollution	les principales sources de pollution	D'abord, parce qu'elles ciblent souvent les principales sources de pollution, comme les transports, le chauffage et certaines activités industrielles.	Environnement P11; Environnement P6	Pollution-policy target.
ENV28	response	Environnement et transports	the most polluting vehicles	les véhicules les plus polluants	les véhicules les plus polluants	En effet, mon pays a mis en place des règles concernant les véhicules les plus polluants, les bâtiments mal isolés, les chaudières anciennes et certaines activités industrielles.	Environnement P11	Anti-pollution target.
ENV29	response	Environnement et transports	sharply limit pesticides	limiter fortement les pesticides	limitant fortement les pesticides	En effet, en limitant fortement les pesticides de synthèse et les engrais chimiques, ce mode de production réduit la présence de résidus dans les aliments que nous mangeons chaque jour.	Environnement P13	Farming input vocabulary.
ENV30	response	Environnement et transports	residues in food	des résidus dans les aliments	résidus dans les aliments	En effet, en limitant fortement les pesticides de synthèse et les engrais chimiques, ce mode de production réduit la présence de résidus dans les aliments que nous mangeons chaque jour.	Environnement P13	Health-risk phrase.
ENV31	response	Environnement et transports	cleaner production methods	des modes de production plus propres	des modes de production plus propres	Ensuite, parce que les politiques publiques peuvent orienter l'activité vers des modes de production plus propres.	Environnement P14	Green-economy phrase.
F17	response	Famille et relations	tell children the truth	dire la vérité aux enfants	dire la vérité aux enfants	La vraie question est de savoir s'il faut toujours dire la vérité aux enfants, dans toutes les situations.	Famille P4	Core position.
F18	response	Famille et relations	with the same words	avec les mêmes mots	avec les mêmes mots	Par exemple, pour parler du décès d'un proche, on ne s'adresse pas à un enfant de six ans avec les mêmes mots qu'à un adolescent : on garde la vérité, mais on choisit la forme.	Famille P4	Compare age groups.
F19	response	Famille et relations	spontaneous helping hand	un coup de main spontané	un coup de main spontané	En effet, ne plus voir ses proches au quotidien et ne plus partager les petits moments de la vie ordinaire — un repas, une discussion du soir, un coup de main spontané — finit par créer un vrai manque.	Famille P5	Everyday support.
F20	response	Étranger et immigration	manage administrative problems	gérer ses problèmes administratifs	gérer ses problèmes administratifs	Par exemple, une personne qui a déménagé à l'étranger seule apprend très vite à gérer ses problèmes administratifs, mais elle reste souvent en contact très fréquent avec sa famille par téléphone ou par messages.	Famille P5	Practical example.
F21	response	Famille et relations	good educational method	une bonne méthode éducative	une bonne méthode éducative	La vraie question est de savoir si donner de l'argent à un enfant pour ses bonnes notes est une bonne méthode éducative.	Famille P6	Education debate.
F22	response	Famille et relations	small family business	une petite entreprise familiale	une petite entreprise familiale	Dans une petite entreprise familiale, ce type de relation permet aussi de prendre des décisions plus rapidement et de se soutenir dans les moments difficiles.	Famille P7	Business context.
F23	response	Famille et relations	collaboration between siblings	la collaboration entre frères et sœurs	la collaboration entre frères et sœurs	Par exemple, beaucoup de petits commerces, de restaurants ou d'exploitations agricoles fonctionnent depuis longtemps grâce à la collaboration entre frères et sœurs ou entre parents et enfants.	Famille P7	Family business example.
F24	response	Famille et relations	lead a balanced life	mener une vie équilibrée	mener une vie équilibrée	La vraie question est de savoir si avoir des amis est vraiment nécessaire pour mener une vie équilibrée.	Famille P9	Friendship topic.
F25	response	Famille et relations	professional advice	un conseil professionnel	un conseil professionnel	En effet, un ami peut donner un coup de main pour un déménagement, un conseil professionnel, une recommandation, garder un enfant en cas d'urgence ou simplement écouter quand on doit prendre une décision.	Famille P9	Practical friendship.
F26	response	Famille et relations	babysit in an emergency	garder un enfant en cas d'urgence	garder un enfant en cas d'urgence	En effet, un ami peut donner un coup de main pour un déménagement, un conseil professionnel, une recommandation, garder un enfant en cas d'urgence ou simplement écouter quand on doit prendre une décision.	Famille P9	Help example.
F27	response	Famille et relations	new interests	de nouveaux centres d'intérêt	de nouveaux centres d'intérêt	Ensuite, parce qu'ils ouvrent à de nouveaux centres d'intérêt, à de nouvelles opportunités et à de nouvelles façons de voir le monde.	Famille P9	Enrichment phrase.
F28	response	Famille et relations	freer speech	une parole plus libre	une parole plus libre	Les amis, eux, apportent une parole plus libre, des affinités choisies et un regard différent sur la vie.	Famille P10	Friend contribution.
F29	response	Famille et relations	freedom and calm	la liberté et le calme	la liberté et le calme	D'abord, parce que vivre seul est plus simple sur certains aspects, comme la liberté et le calme.	Famille P11	Solo-living benefits.
F30	response	Famille et relations	less noise	moins de bruit	moins de bruit	Il y a aussi moins de bruit, moins de petites disputes et plus de calme au quotidien.	Famille P11	Daily calm.
F31	response	Famille et relations	share responsibilities	un partage possible des responsabilités	un partage possible des responsabilités	Ensuite, je pense que la vie en famille apporte aussi du soutien, de la présence et un partage possible des responsabilités.	Famille P11	Family benefit.
F32	response	Famille et relations	emotional security	une sécurité affective	une sécurité affective	Cela permet de comprendre que la vie en famille apporte une sécurité affective qu'on ne trouve pas en vivant seul.	Famille P11	Family advantage.
F33	response	Famille et relations	rules and clear reference points	des règles et des repères clairs	règles et de repères clairs	D'abord, parce que les enfants ont besoin de règles et de repères clairs pour grandir.	Famille P12	Needs of children.
F34	response	Famille et relations	for the slightest mistake	pour la moindre erreur	pour la moindre erreur	En effet, un parent qui crie tout le temps, qui punit pour la moindre erreur ou qui ne laisse jamais l'enfant s'exprimer obtient souvent une obéissance de façade.	Famille P12	Harsh punishment cue.
F35	response	Étranger et immigration	host country's language	la langue du pays d'accueil	la langue du pays d'accueil	À mon avis, il faut surtout préserver la langue maternelle, tout en donnant aussi une vraie place à la langue du pays d'accueil.	Famille P13; Culture P27; Economie P15	Use for integration and language balance.
F36	response	Famille et relations	family culture	la culture familiale	la culture familiale	Je pense d'abord qu'il est important de continuer à parler la langue maternelle aux enfants, parce qu'elle transmet l'identité et la culture familiale.	Famille P13	Heritage phrase.
F37	response	Famille et relations	part of one's history	une partie de son histoire	une partie de son histoire	La parler à la maison permet à l'enfant de garder un lien réel avec cette famille élargie et de comprendre une partie de son histoire.	Famille P13	Identity phrase.
F38	response	Famille et relations	all household members	tous les membres du foyer	tous les membres du foyer	À mon avis, oui, tous les membres du foyer devraient participer, chacun selon ses capacités.	Famille P14	Use for shared duties at home.
F39	response	Famille et relations	after age 25	après 25 ans	après 25 ans	La vraie question est de savoir si vivre avec ses parents après 25 ans peut vraiment être considéré comme une solution pratique.	Famille P16	Age threshold.
F40	response	Famille et relations	practical solution	une solution pratique	une solution pratique	La vraie question est de savoir si vivre avec ses parents après 25 ans peut vraiment être considéré comme une solution pratique.	Famille P16	Topic phrase.
N36	response	Nuancer et comparer	remain at the talking stage	rester au stade du discours	reste au stade du discours	Un problème trop vague ou trop lointain décourage l'action et reste au stade du discours.	Culture P4	Use when ideas never turn into action.
N37	response	Nuancer et comparer	not automatic	cette réussite n'est jamais automatique	cette réussite n'est jamais automatique	À mon avis, oui, il est possible d'atteindre ses objectifs à l'étranger, mais cette réussite n'est jamais automatique : elle dépend de conditions très précises.	Culture P5	Jamais strengthens negation.
N38	response	Nuancer et comparer	quick, partial, sometimes false	rapide, partiel, parfois faux	rapides, partiels, parfois faux	À l'inverse, beaucoup de contenus en ligne sont rapides, partiels, parfois faux, et ils peuvent disparaître ou changer du jour au lendemain.	Culture P6	Adjectives list flaws compactly.
N39	response	Nuancer et comparer	less recognized financially and socially	moins reconnu financièrement et socialement	moins reconnus financièrement et socialement	Même s'ils sont souvent moins reconnus financièrement et socialement, ils demandent une vraie discipline, une vraie formation et reposent sur une vraie organisation professionnelle.	Culture P7	Adverbs specify recognition type.
N40	response	Famille et relations	judge youth too negatively	juger la jeunesse de manière trop négative	la jeunesse de manière trop négative	La vraie question est de savoir si les personnes âgées jugent aujourd'hui la jeunesse de manière trop négative.	Culture P8; Culture P2	De manière + adjective.
N41	response	Nuancer et comparer	grow stronger with proximity	se renforcer avec la proximité	se renforcer avec la proximité	Si le pessimisme était fondé sur la réalité, il devrait au contraire se renforcer avec la proximité, et non l'inverse.	Culture P2; Culture P8	Se renforcer = become stronger.
N42	response	Nuancer et comparer	the trip remains a unique experience	le voyage reste une expérience unique	le voyage reste une expérience unique	Même si le voyage reste une expérience unique, il n'est pas le seul moyen d'accéder à une culture.	Culture P14	Concession
N43	response	Nuancer et comparer	travel keeps real value	Le voyage garde donc une vraie valeur	Le voyage garde donc une vraie valeur	Le voyage garde donc une vraie valeur ; mais comme il n'est pas accessible à tout le monde, l'idéal reste de combiner ces différentes ressources.	Culture P14	Value
N44	response	Nuancer et comparer	are not trivial	ne sont pas anodines	ne sont pas anodines	De plus, ces habitudes ne sont pas anodines : elles montrent la place de la famille, du travail ou du temps libre dans la société.	Culture P15	Use for habits/details with real social meaning.
N45	shared	Nuancer et comparer	not say much about […]	ne pas dire grand-chose de […]	ne dit pas grand-chose	Elle ne dit pas grand-chose, par exemple, de son système politique, de ses valeurs profondes ou de sa langue.	Culture P15	Use to limit what one example can prove.
N46	response	Nuancer et comparer	it is not always positive	n'est pas toujours positive	n'est pas toujours positive	À mon avis, une expérience à l'étranger peut être très enrichissante, mais elle n'est pas toujours positive : tout dépend de la préparation, de l'intégration et des conditions personnelles dans lesquelles elle se vit.	Culture P17	Core contrast
N47	response	Étranger et immigration	feel isolated and alienated	se sentir isolé et étranger à tout	se sentir isolé et étranger à tout	De plus, sans contact avec les habitants, on peut rapidement se sentir isolé et étranger à tout ce qui se passe.	Culture P17	Use for exclusion in a new environment.
N48	response	Nuancer et comparer	digital messages vanish almost at once	disparaissent presque aussitôt	disparaissent presque aussitôt	Enfin, ces courriers laissaient une trace que l'on pouvait garder et relire, alors que les messages numériques disparaissent presque aussitôt.	Culture P18	Digital contrast
N49	response	Nuancer et comparer	are rarely reread	être rarement relu	sont rarement relus	À l'inverse, les messages numériques sont rarement relus, souvent perdus quand on change de téléphone, et n'ont pas la même valeur de souvenir.	Culture P18	Use for digital messages with little lasting value.
N50	response	Nuancer et comparer	not really know […] in depth	ne pas vraiment connaître […] en profondeur	pas vraiment le connaître en profondeur	À mon avis, on peut percevoir certains aspects d'un pays sans parler sa langue, mais on ne peut pas vraiment le connaître en profondeur, parce que la langue donne accès à ce qu'aucune observation extérieure ne peut révéler.	Culture P19	Use to contrast surface contact with real knowledge.
N51	response	Nuancer et comparer	live physically in the country	habiter physiquement dans le pays	on habite physiquement dans le pays	En effet, sans la langue, on habite physiquement dans le pays, mais on ne participe pas vraiment à sa vie sociale : on ne peut pas lire les journaux, suivre les actualités locales, comprendre les conversations dans la rue ni participer aux débats qui agitent la société.	Culture P19; Culture P11; Culture P24	Contrast physical presence with real participation.
N52	response	Nuancer et comparer	an outside view	une vision extérieure	une vision extérieure	Mais ce que l'on connaît ainsi reste une vision extérieure, qui ne remplace pas une compréhension réelle.	Culture P19	Outside view
N53	response	Nuancer et comparer	give only a small part of their richness	ne rendre qu'une petite partie de leur richesse	ne rendent qu'une petite partie de leur richesse	En effet, la littérature, la philosophie ou la pensée historique sont d'abord transmises par des textes, et les versions résumées ne rendent qu'une petite partie de leur richesse.	Culture P20	Use to criticize summaries or simplified versions.
N54	response	Nuancer et comparer	other supports replace it only partly	ne remplacent qu'en partie	ne remplacent qu'en partie	Cela montre que la lecture garde une fonction unique dans l'accès à la culture, que les autres supports ne remplacent qu'en partie.	Culture P20	Partial
N55	response	Nuancer et comparer	from one country to another	d'un pays à l'autre	d'un pays à l'autre	En effet, le marché du travail, le coût de la vie, les conditions de logement et les diplômes reconnus varient beaucoup d'un pays à l'autre.	Culture P26	Mark variation across contexts.
N56	response	Nuancer et comparer	almost without realizing it	presque sans s'en rendre compte	presque sans s'en rendre compte	En effet, en vivant des années dans un autre pays, on adopte presque sans s'en rendre compte la nourriture locale, les horaires, les manières de travailler ou même certaines expressions.	Culture P27	Use for gradual adoption.
N57	response	Nuancer et comparer	fame is never enough	sa notoriété ne suffit jamais	sa notoriété ne suffit jamais	À mon avis, une célébrité peut entrer en politique, mais sa notoriété ne suffit jamais : sa légitimité dépend surtout de sa compétence, de son sérieux et de la manière dont elle se met au service de l'intérêt général.	Culture P33	Concise thesis phrase.
N58	response	Nuancer et comparer	under strict conditions	à certaines conditions strictes	à certaines conditions strictes	À mon avis, une célébrité peut avoir sa place en politique, mais à certaines conditions strictes.	Culture P33	Limit an agreement.
N59	response	Nuancer et comparer	sometimes decide under pressure	trancher, parfois sous la pression	trancher, parfois sous la pression	En effet, un responsable doit trancher, parfois sous la pression, et assumer les conséquences de ses choix pour lui-même et pour les autres.	Economie P3	High-stakes decisions
N60	response	Nuancer et comparer	a matter of personal temperament	une question de tempérament personnel	une question de tempérament personnel	Cela montre que la responsabilité n'est pas seulement une compétence : c'est aussi une question de tempérament personnel.	Economie P3	Nuance ability claims
N61	response	Nuancer et comparer	monitor these choices in detail	surveiller ces choix dans le détail	surveiller ces choix dans le détail	Aucune administration n'a les moyens, ni la légitimité, de surveiller ces choix dans le détail.	Culture P3; Economie P5	Use for impractical close control.
N62	response	Nuancer et comparer	total absence of rules	l'absence totale de règles	l'absence totale de règles	À l'inverse, l'absence totale de règles produit du désordre, des abus et des inégalités.	Culture P3; Economie P5	Opposite extreme
N64	shared	Nuancer et comparer	a personal choice	un choix personnel	un choix personnel	La vraie question est de savoir si la plupart des départs vers l'étranger sont vraiment subis ou s'ils relèvent aussi d'un choix personnel.	Economie P14; Famille P10; Santé P13; Technologie P3	Contrast forced migration
N65	response	Nuancer et comparer	rarely completely free	rarement totalement libre	rarement totalement libre	Enfin, je pense que même quand le départ semble volontaire, il est rarement totalement libre.	Economie P14	Nuance choice claims
N66	response	Nuancer et comparer	chosen departure and forced departure	départ choisi et départ subi	départ choisi et départ subi	Cela montre que la frontière entre départ choisi et départ subi n'est pas aussi nette qu'on le pense.	Economie P14	Contrastive migration frame
N67	response	Nuancer et comparer	exception rather than rule	l'exception plutôt que la règle	l'exception plutôt que la règle	Mais cela reste l'exception plutôt que la règle.	Economie P15	Good limiting phrase
N68	response	Nuancer et comparer	not a real criterion	ne pas être un vrai critère	n'est pas un vrai critère	À mon avis, le sexe du responsable n'est pas un vrai critère ; ce qui compte, c'est la manière dont la personne dirige.	Economie P17	Reject identity criterion
N69	response	Nuancer et comparer	old stereotypes	les anciens stéréotypes	Les anciens stéréotypes	Les anciens stéréotypes qui associaient l'autorité aux hommes et l'écoute aux femmes ne correspondent plus à la réalité du travail.	Economie P17	Use to name outdated gender assumptions.
N70	response	Nuancer et comparer	people's real skills	les vraies compétences des personnes	les vraies compétences des personnes	De plus, ces stéréotypes peuvent même empêcher de voir les vraies compétences des personnes.	Economie P17	Refocus on ability
N71	response	Nuancer et comparer	a personal preference	une préférence personnelle	une préférence personnelle	Cependant, je comprends que certaines personnes aient une préférence personnelle, souvent liée à leur expérience passée.	Economie P17	Concession phrase
N72	response	Nuancer et comparer	sufficient income remains important	un revenu suffisant reste important	un revenu suffisant reste important	À mon avis, non, il n'est pas nécessaire de gagner beaucoup d'argent pour profiter de la vie, même si un revenu suffisant reste important.	Economie P18	Balanced money point
N73	response	Nuancer et comparer	feel lonely or stressed	se sentir seul ou stressé	se sentir seul ou stressé	À l'inverse, on peut très bien avoir beaucoup d'argent et se sentir seul ou stressé.	Economie P18	Negative well-being phrase
N74	response	Travail et économie	bottom of the wage scale	en bas de l'échelle des salaires	en bas de l'échelle des salaires	Pourtant, ces métiers se trouvent souvent en bas de l'échelle des salaires.	Economie P20	Pay inequality image
N75	response	Nuancer et comparer	a logic of justice	une logique de justice	une logique de justice	Le salaire reflète donc plus une logique économique qu'une logique de justice.	Economie P20	Fairness contrast
N76	response	Environnement et transports	a city saturated with cars	une ville saturée de voitures	une ville saturée de voitures	Au contraire, une ville saturée de voitures connaît plus de pollution, plus de bruit et plus de difficultés de circulation.	Economie P22	Pollution contrast
N77	response	Nuancer et comparer	a high-quality service	un service de qualité	un service de qualité	Mais elle n'a vraiment de sens que si elle s'appuie sur un service de qualité et un financement clair.	Economie P22	Use for conditions that make a policy workable.
N78	response	Nuancer et comparer	a simple one-off form of help	une simple aide ponctuelle	une simple aide ponctuelle	Par exemple, une entreprise qui embauche des personnes éloignées de l'emploi joue souvent un rôle plus durable qu'une simple aide ponctuelle.	Economie P23	Contrast with durable action
N79	response	Nuancer et comparer	an irreplaceable role	un rôle irremplaçable	un rôle irremplaçable	Cependant, il faut reconnaître que les associations et les ONG jouent un rôle irremplaçable, notamment auprès des personnes que l'État a du mal à atteindre.	Economie P23	Concede NGO value
N80	response	Nuancer et comparer	attention stays focused on […]	l'attention reste tournée vers […]	l'attention reste tournée	Pour que l'attention reste tournée vers l'enseignant et le cours, il faut que le téléphone soit rangé.	Education P3	Describes where attention remains directed.
N81	response	Nuancer et comparer	should not be absolute	ne doit pas être absolu	ne doit pas être absolu	Cependant, l'interdiction ne doit pas être absolue.	Education P3	Nuance a prohibition.
N82	response	Nuancer et comparer	remain only an exception	ne devrait rester qu'une exception	ne devrait rester qu'une exception	À mon avis, l'instruction à la maison ne devrait rester qu'une exception ; l'école est dans la grande majorité des cas une meilleure solution.	Education P4	Restrictive position.
N84	response	Nuancer et comparer	below qualifications	en dessous de ses qualifications	en dessous de ses qualifications	À l'inverse, partir sans s'informer sur ce point peut conduire à devoir accepter un emploi très en dessous de ses qualifications.	Education P5	Underemployment phrase.
N85	response	Nuancer et comparer	does not replace concrete help	ne remplace pas l'aide concrète	ne remplace pas l'aide concrète	À mon avis, oui, Internet joue un rôle réel et important dans la solidarité, même s'il ne remplace pas l'aide concrète sur le terrain.	Education P6	Nuance online action.
N86	response	Nuancer et comparer	slow the mobilization	ralentir toute la mobilisation	ralentirait toute la mobilisation	À l'opposé, sans Internet, beaucoup d'événements seraient connus avec un grand retard, ce qui ralentirait toute la mobilisation.	Education P6	Negative counterfactual.
N87	shared	Nuancer et comparer	cannot be limited to	ne peut pas se limiter à […]	ne peut pas se limiter	Ensuite, je pense qu'apprendre une langue est difficile parce que cela ne peut pas se limiter à apprendre des règles.	Education P13	Reject narrow method.
N88	response	Nuancer et comparer	rather than a one-off donation	plutôt qu'un don ponctuel	plutôt qu'un don ponctuel	À mon avis, l'action solidaire que j'aimerais le plus faire est une aide concrète et régulière auprès des personnes les plus fragiles, plutôt qu'un don ponctuel.	Education P10	Contrast aid forms.
N89	response	Nuancer et comparer	does not replace direct experience	ne pas remplacer l'expérience directe	ne remplace pas l'expérience directe	À mon avis, oui, la lecture des livres est un très bon moyen pour connaître un pays, même si elle ne remplace pas l'expérience directe.	Education P14	Use after praising indirect knowledge.
N90	response	Nuancer et comparer	more complete vision	une vision beaucoup plus complète	une vision beaucoup plus complète	Cela donne une vision beaucoup plus complète qu'un simple guide touristique.	Education P14	Compare with simpler views.
N91	response	Nuancer et comparer	superficial images	des images superficielles	des images superficielles	À l'opposé, sans ces lectures, on connaît surtout des images superficielles, comme les monuments ou la cuisine.	Education P14	Critique stereotypes.
N92	shared	Nuancer et comparer	multiple points of view	plusieurs points de vue	plusieurs points de vue	À l'opposé, une bonne information suppose d'avoir accès à plusieurs points de vue, y compris ceux avec lesquels on n'est pas spontanément d'accord.	Education P15; Education P18	Needed for balance.
